Address,City,Price Sold,Bed,Bath,sqft,pricesqft,days on Redfin,catchment
28 S Fallon St,,120000,3,1,1200.00,100.00,,0
"4643 PINE St Unit C101
Listed by: Coldwell Banker Preferred-Center City",GARDEN COURT,155000,1,1,1214.00,128.00,,0
"4215-17 CHESTNUT St #201
Listed by: How Real Estate",SPRUCE HILL,244000,1,1,484.00,504.00,,0
"4215-17 CHESTNUT St #504
Listed by: How Real Estate",SPRUCE HILL,324000,2,2,840.00,386.00,,0
"4215-17 CHESTNUT St #303
Listed by: How Real Estate",SPRUCE HILL,329000,2,2,756.00,435.00,,0
"4215-17 CHESTNUT St #301
Listed by: How Real Estate",SPRUCE HILL,259000,1,1,496.00,522.00,,0
"4215-17 CHESTNUT St #405
Listed by: How Real Estate",SPRUCE HILL,324000,2,2,836.00,388.00,,0
"4215-17 CHESTNUT St #202
Listed by: How Real Estate",SPRUCE HILL,320000,2,2,797.00,402.00,,0
"4215-17 CHESTNUT St #203
Listed by: How Real Estate",SPRUCE HILL,338995,2,2,756.00,448.00,,0
"4215-17 CHESTNUT St #407
Listed by: How Real Estate",SPRUCE HILL,331500,2,2,793.00,418.00,,0
"4215-17 CHESTNUT St #205
Listed by: How Real Estate",SPRUCE HILL,334000,2,2,862.00,387.00,,0
"4215-17 CHESTNUT St #307
Listed by: How Real Estate",SPRUCE HILL,354000,2,2,819.00,432.00,,0
"4215-17 CHESTNUT St #501
Listed by: How Real Estate",SPRUCE HILL,265000,1,1,496.00,534.00,,0
"4215-17 CHESTNUT St #403
Listed by: How Real Estate",SPRUCE HILL,335900,2,2,756.00,444.00,,0
"4215-17 CHESTNUT St #506
Listed by: How Real Estate",SPRUCE HILL,284000,1,1,675.00,421.00,,0
"4215-17 CHESTNUT St #505
Listed by: How Real Estate",SPRUCE HILL,339995,2,2,862.00,394.00,,0
"4215-17 CHESTNUT St #304
Listed by: How Real Estate",SPRUCE HILL,319000,2,2,840.00,380.00,,0
"4215-17 CHESTNUT St #207
Listed by: How Real Estate",SPRUCE HILL,325000,2,2,819.00,397.00,,0
"4215-17 CHESTNUT St #305
Listed by: How Real Estate",SPRUCE HILL,335000,2,2,862.00,389.00,,0
